,PRICE
0,53000.0
1,59000.0
2,55000.0
3,100000.0
4,57000.0
5,42000.0
6,49500.0
7,41300.0
8,36800.0
9,58000.0
10,60000.0
11,36700.0
12,61000.0
13,60000.0
14,49100.0
15,58385.47177468613
16,58385.472172436304
17,45600.0
18,32100.0
19,58385.4733656859
20,61000.0
21,41800.0
22,47600.0
23,58385.47495668568
24,60000.0
25,60000.0
26,58385.476149935275
27,60000.0
28,55000.0
29,52000.0
30,66000.0
31,60000.0
32,75000.0
33,56000.0
34,54000.0
35,55000.0
36,47600.0
37,101000.0
38,55000.0
39,69000.0
40,58000.0
41,53000.0
42,60000.0
43,51000.0
44,59000.0
45,47900.0
46,38900.0
47,53000.0
48,34900.0
49,60000.0
50,60000.0
51,59000.0
52,59000.0
53,58000.0
54,44500.0
55,61000.0
56,61000.0
57,60000.0
58,60000.0
59,53000.0
60,60000.0
61,54000.0
62,60000.0
63,54711.99155550171
64,54000.0
65,38900.0
66,74000.0
67,47800.0
68,55000.0
69,100000.0
70,60000.0
71,63000.0
72,60000.0
73,74000.0
74,55000.0
75,54000.0
76,36300.0
77,48900.0
78,45000.0
79,74000.0
80,101000.0
81,60000.0
82,61000.0
83,53000.0
84,49100.0
85,29600.0
86,52000.0
87,51000.0
88,57000.0
89,60000.0
90,49100.0
91,60000.0
92,61000.0
93,60000.0
94,61000.0
95,51000.0
96,41800.0
97,44900.0
98,41800.0
99,47700.0
100,49000.0
101,32100.0
102,43100.0
103,60000.0
104,60000.0
105,58000.0
106,60000.0
107,41800.0
108,60000.0
109,57000.0
110,40000.0
111,57000.0
112,47100.0
113,60000.0
114,57000.0
115,42000.0
116,55000.0
117,61000.0
118,43500.0
119,59000.0
120,64000.0
121,60000.0
122,62000.0
123,63000.0
124,64000.0
125,58000.0
126,37000.0
127,51000.0
128,74547.92239559628
129,74547.92279334646
130,74547.9231910957
131,74547.92358884588
132,74547.92398659606
133,74547.9243843453
134,74547.92478209548
135,74547.92517984565
136,74547.9255775949
137,74547.92597534508
138,74547.92637309525
139,74547.92677084543
140,74547.92716859467
141,74547.92756634485
142,74547.92796409503
143,74547.92836184427
144,74547.92875959445
145,74547.92915734462
146,74547.92955509387
147,74547.92995284405
148,74547.93035059422
149,74547.93074834347
150,74547.93114609364
151,74547.93154384382
152,74547.931941594
153,61486.022814732045
154,84000.0
155,131000.0
156,66000.0
157,116000.0
158,63000.0
159,90000.0
160,157000.0
161,71000.0
162,97000.0
163,94000.0
164,119000.0
165,97000.0
166,100000.0
167,127000.0
168,103000.0
169,92000.0
170,121000.0
171,83000.0
172,140000.0
173,106000.0
174,112000.0
175,60000.0
176,145000.0
177,125000.0
178,226000.0
179,76000.0
180,134000.0
181,93000.0
182,109000.0
183,125000.0
184,106000.0
185,139000.0
186,87000.0
187,110000.0
188,124000.0
189,256000.0
190,131000.0
191,131000.0
192,103000.0
193,96000.0
194,52000.0
195,106000.0
196,87000.0
197,118000.0
198,106000.0
199,104000.0
200,138000.0
201,52000.0
202,162000.0
203,92000.0
204,103195.71805282962
205,119000.0
206,93000.0
207,113000.0
208,70000.0
209,96000.0
210,113000.0
211,82000.0
212,103000.0
213,119000.0
214,76000.0
215,86000.0
216,54000.0
217,103000.0
218,110000.0
219,75000.0
220,92000.0
221,60000.0
222,103000.0
223,93000.0
224,124000.0
225,110000.0
226,54000.0
227,98000.0
228,103195.72759882733
229,82000.0
230,103000.0
231,86000.0
232,89000.0
233,94000.0
234,127000.0
235,127000.0
236,72000.0
237,174000.0
238,114000.0
239,71000.0
240,101000.0
241,106000.0
242,99184.43960178737
243,120000.0
244,62000.0
245,129000.0
246,104000.0
247,94000.0
248,145000.0
249,94000.0
250,127000.0
251,133000.0
252,110000.0
253,87000.0
